,compte,pays,nbCommentaires,nbLikes,nbVues,nbPartages
0,24heuresca,Canada,142.0,1563.0,42215.0,134.0
1,_urbania,Canada,24.0,1245.0,34860.0,66.0
2,bfmtv,France,235.0,14866.0,189769.0,276.0
3,brutofficiel,France,614.0,28579.0,440832.0,707.0
4,franceinfo,France,255.0,12032.0,145382.0,282.0
5,heidi.news,Suisse,3.0,141.0,4494.0,4.0
6,hugodecrypte,France,1381.0,115463.0,832394.0,2075.0
7,infobref,Canada,0.0,2.0,102.0,1.0
8,journalmetro,Canada,36.0,475.0,12926.0,53.0
9,konbini,France,157.0,15921.0,192843.0,191.0
10,latribune,Canada,0.0,10.0,493.0,1.0
11,lavoixdunord,France,3.0,110.0,1523.0,1.0
12,ledevoir,Canada,6.0,202.0,4112.0,14.0
13,lefigarofr,France,207.0,5747.0,95537.0,126.0
14,lemondefr,France,287.0,18950.0,205313.0,291.0
15,leparisien,France,283.0,12291.0,147863.0,7056.0
16,leprogres.lyon,France,18.0,593.0,13695.0,50.0
17,lequipe,France,140.0,20688.0,292514.0,174.0
18,letemps,Suisse,22.0,680.0,8939.0,26.0
19,loopsider,France,190.0,7440.0,104176.0,324.0
20,majmonactu,Canada,46.0,2874.0,31990.0,85.0
21,miseajour,Belgique,354.0,14421.0,150180.0,373.0
22,noovo.info,Canada,34.0,824.0,18011.0,33.0
23,ouestfrance,France,24.0,838.0,11849.0,20.0
24,radio.canada.info,Canada,61.0,1374.0,32937.0,69.0
25,radpointca,Canada,52.0,1457.0,23567.0,53.0
26,rds.ca,Canada,60.0,6458.0,101553.0,451.0
27,rmcsport,France,213.0,17965.0,242931.0,209.0
28,rtlinfo,Belgique,18.0,643.0,15024.0,20.0
29,rtsinfo,Suisse,381.0,16732.0,196629.0,570.0
30,sudouestfr,France,19.0,732.0,8875.0,24.0
31,tdg.ch,Suisse,80.0,984.0,21044.0,86.0
32,tf1info,France,252.0,12330.0,199049.0,1453.0
33,tvasports,Canada,46.0,3562.0,71808.0,118.0
