,n_tags,nbCommentaires,nbLikes,nbVues,nbPartages
0,0 tags,762.0,57537.0,507047.0,1178.0
1,1 tags,419.0,19454.0,303893.0,481.0
2,2 tags,376.0,18429.0,230408.0,448.0
3,3 tags,280.0,17251.0,209197.0,2082.0
4,4 tags,231.0,14658.0,171206.0,283.0
5,5 tags,281.0,17407.0,199271.0,307.0
6,6 tags,337.0,25037.0,258468.0,459.0
7,7 tags,357.0,22960.0,221866.0,282.0
8,8 tags,248.0,21776.0,191872.0,194.0
9,9 tags,231.0,24472.0,215939.0,223.0
10,10 tags,224.0,18331.0,185835.0,2516.0
11,11 tags,172.0,18411.0,166909.0,3494.0
12,12 tags,112.0,6604.0,86571.0,135.0
13,13 tags,114.0,4266.0,80127.0,148.0
14,14 tags,78.0,4427.0,63885.0,144.0
15,15 tags,215.0,4720.0,98853.0,118.0
16,16 tags,88.0,1379.0,17314.0,56.0
17,17 tags,68.0,1926.0,67382.0,45.0
18,18 tags,200.0,4612.0,51692.0,61.0
19,19 tags,13.0,253.0,3704.0,5.0
20,20 tags,49.0,428.0,13817.0,52.0
21,21 tags,68.0,529.0,15349.0,90.0
22,22 tags,455.0,4011.0,110300.0,663.0
23,24 tags,0.0,72.0,2192.0,5.0
24,27 tags,141.0,54.0,3342.0,3.0
