,tags,nbVues,nbPartages
0,,66821.0,74
57,2021,52481.0,26
58,2022,62688.0,100
74,24heures,29346.0,55
203,actu,337092.0,198
205,actualites,222026.0,55
206,actualité,188655.0,189
208,actualités,42158.0,37
210,actus,690150.0,28
253,afghanistan,219360.0,29
466,animaux,89838.0,44
556,argent,124659.0,55
591,art,228329.0,35
639,assembleenationale,242731.0,26
751,avion,369456.0,34
758,avortement,135290.0,48
844,ballondor,824557.0,90
965,belgique,274476.0,49
1004,benzema,299097.0,41
1039,biden,184304.0,35
1117,bleus,644767.0,25
1192,bordeaux,8349.0,60
1254,bretagne,95623.0,49
1417,canada,133413.0,60
1443,canicule,271374.0,84
1450,cannes2022,377426.0,94
1603,chaleur,168706.0,47
1616,championsleague,250202.0,45
1657,charlesiii,228695.0,25
1720,chien,348903.0,31
1736,chine,157957.0,66
1785,cinema,182035.0,70
1841,climat,143865.0,98
1844,climatechange,207452.0,70
1959,concert,239131.0,42
1976,confinement,132495.0,36
2053,coronavirus,352490.0,45
2086,coupedumonde,355104.0,121
2088,coupedumonde2022,235076.0,27
2118,covid,81260.0,70
2119,covid19,125063.0,204
2225,culture,152781.0,26
2818,ecole,134494.0,37
2826,ecologie,176749.0,76
2830,economie,34014.0,28
2881,election,58167.0,64
2883,election2022,117878.0,37
2887,elections,50323.0,54
2894,electionsquebec,68441.0,30
2928,elizabeth,300409.0,59
2930,elizabethii,272380.0,50
2940,elonmusk,332729.0,46
2964,emmanuelmacron,395213.0,42
2996,energie,150336.0,27
3030,environment,68057.0,27
3031,environnement,174701.0,108
3057,equipedefrance,222568.0,68
3081,espace,262862.0,66
3095,essence,361903.0,35
3103,etatsunis,210177.0,78
3105,ete,22732.0,44
3146,europe,222609.0,28
3223,factcheck,107806.0,34
3225,facts,63360.0,54
3265,fashion,179560.0,29
3270,fashionweek,168026.0,32
3279,fastcheck,326011.0,97
3311,femmes,95278.0,29
3324,festival,34219.0,46
3325,festivaldecannes,317744.0,67
3393,film,50424.0,27
3474,food,121773.0,50
3485,foot,451115.0,107
3487,football,288527.0,320
3494,footballtiktok,140726.0,29
3522,foryou,118363.0,356
3526,foryoupage,61864.0,60
3554,france,360889.0,353
3561,franceinfo,166128.0,224
3655,fyp,53744.0,582
3657,fypシ,66759.0,39
3690,galtier,320362.0,31
3703,gaming,111384.0,33
3817,gironde,48928.0,37
3888,gouvernement,302708.0,34
3993,guerre,121682.0,122
4053,halloween,122846.0,28
4100,harrypotter,182846.0,31
4169,histoire,171971.0,73
4187,hockey,88921.0,61
4259,hugodecrypte,844410.0,131
4276,humour,76086.0,58
4352,immobilier,48345.0,29
4366,incendie,348609.0,36
4395,inflation,92374.0,47
4402,info,186957.0,366
4406,information,22570.0,26
4409,infos,146544.0,83
4434,insolite,423039.0,27
4463,interview,186262.0,217
4486,iran,253768.0,63
4520,italie,328502.0,25
4537,ivg,209491.0,35
4571,japon,198552.0,36
4636,jeu,157605.0,32
4775,justice,256870.0,33
4888,kiev,267173.0,34
4930,konbini,170699.0,1654
5081,lavoixvousrepond,1527.0,25
5096,learnontiktok,124443.0,40
5109,ledevoir,5960.0,29
5126,legislatives2022,105927.0,62
5148,lepen,157769.0,67
5153,lepush,112296.0,34
5209,lgbt,317495.0,44
5211,lgbtq,116682.0,27
5253,ligue1,194273.0,30
5257,liguedeschampions,238764.0,46
5321,logement,145882.0,28
5351,londres,232283.0,37
5358,loopsider,128860.0,155
5436,lycee,284065.0,28
5447,lyon,27085.0,88
5476,macron,272633.0,241
5520,mahsaamini,152020.0,28
5604,manifestation,71978.0,43
5671,marinelepen,179072.0,47
5691,marseille,283955.0,57
5708,masque,140407.0,32
5757,mbappe,268739.0,79
5760,mbappé,452694.0,35
5813,melenchon,103768.0,48
5858,messi,242854.0,36
5872,meteo,200331.0,49
5886,metro,106676.0,34
6030,mma,161498.0,33
6043,mode,149725.0,52
6087,mondial,319771.0,36
6129,montreal,28675.0,177
6198,mtl,22975.0,239
6205,mtltiktok,31270.0,32
6229,music,36719.0,38
6238,musique,95776.0,96
6307,nasa,261895.0,54
6327,nature,195888.0,45
6364,netflix,262790.0,53
6379,news,373675.0,732
6394,neymar,178462.0,34
6400,nhl,90720.0,56
6441,noel,100916.0,27
6623,om,346023.0,43
6711,ouestfrance,7825.0,64
6821,paris,326986.0,211
6947,penurie,227821.0,27
7162,pogba,669714.0,26
7193,police,304926.0,52
7201,politique,84439.0,247
7205,politiquefrancaise,209380.0,25
7213,pollution,108441.0,42
7220,polqc,43814.0,127
7246,popscience,2836.0,60
7288,pourtoi,45664.0,474
7299,poutine,513024.0,140
7342,presidentielle,37104.0,47
7343,presidentielle2022,177090.0,265
7442,présidentielle2022,192272.0,34
7451,psg,259426.0,172
7508,qatar,337423.0,104
7509,qatar2022,393565.0,71
7514,qc,32459.0,184
7515,qc2022,44698.0,34
7519,qctiktok,33797.0,53
7535,quebec,33029.0,253
7541,quebectiktok,38339.0,56
7544,queen,530045.0,44
7549,queenelizabeth,625155.0,75
7579,québec,16992.0,53
7629,rap,173714.0,157
7633,rapgame,154010.0,32
7674,realmadrid,444922.0,35
7685,rechauffementclimatique,76979.0,30
7747,reine,542970.0,27
7788,reportage,165082.0,49
7865,rihanna,211931.0,26
7950,ronaldo,273328.0,29
7995,royaumeuni,155223.0,38
8027,russia,272819.0,92
8028,russie,310772.0,355
8150,sante,137109.0,52
8159,santé,99965.0,51
8207,sch,281440.0,26
8213,science,113306.0,72
8313,series,84528.0,25
8485,soccer,90639.0,31
8576,space,125577.0,29
8597,sport,136128.0,65
8606,sports,232471.0,36
8607,sportstiktok,444895.0,104
8758,sudouest,10140.0,176
8759,sudouestfrance,9587.0,72
8764,suisse,94454.0,82
8769,summer,57810.0,28
8837,switzerland,86765.0,27
8864,sérieux,238606.0,48
8978,temoignage,518531.0,34
8992,tennis,264838.0,72
9025,tf1,231587.0,47
9111,tiktok,114647.0,143
9114,tiktokacademie,150980.0,1348
9116,tiktokacademy,47164.0,74
9117,tiktokacadémie,237793.0,60
9131,tiktokfashion,130212.0,35
9134,tiktokfrance,5536.0,78
9140,tiktoklequipe,240953.0,172
9143,tiktokmtl,6104.0,33
9145,tiktokmusique,199261.0,28
9149,tiktokquebec,33247.0,179
9160,tiktoksports,424549.0,67
9405,trump,117802.0,44
9459,twitter,281899.0,57
9487,ufc,184904.0,30
9494,uk,271266.0,50
9497,ukraine,272418.0,538
9572,usa,270605.0,107
9586,vacances,125104.0,43
9588,vaccin,122112.0,86
9696,video,233445.0,218
9766,viral,149722.0,27
9807,voiture,312204.0,25
